2026-05-11 16:41:08,455 | broad_market_rss_fetcher | INFO | ============================================================
2026-05-11 16:41:08,466 | broad_market_rss_fetcher | INFO | Starting broad market RSS sweep
2026-05-11 16:41:08,467 | broad_market_rss_fetcher | INFO |   Total queries:   215
2026-05-11 16:41:08,468 | broad_market_rss_fetcher | INFO |   Sweepers:        20
2026-05-11 16:41:08,468 | broad_market_rss_fetcher | INFO |   Sector x Event:  180
2026-05-11 16:41:08,469 | broad_market_rss_fetcher | INFO |   High signal:     15
2026-05-11 16:41:08,470 | broad_market_rss_fetcher | INFO |   Max per query:   100
2026-05-11 16:41:08,470 | broad_market_rss_fetcher | INFO |   Max age:         48h
2026-05-11 16:41:08,471 | broad_market_rss_fetcher | INFO |   Concurrency:     8
2026-05-11 16:41:08,471 | broad_market_rss_fetcher | INFO | ============================================================
2026-05-11 16:41:09,019 | broad_market_rss_fetcher | DEBUG | Query 'NSE BSE share price today' → 29 articles
2026-05-11 16:41:09,100 | broad_market_rss_fetcher | DEBUG | Query 'India stock market movers gainers losers' → 51 articles
2026-05-11 16:41:09,377 | broad_market_rss_fetcher | DEBUG | Query 'India FII DII investment today' → 96 articles
2026-05-11 16:41:09,463 | broad_market_rss_fetcher | DEBUG | Query 'India corporate results profit loss' → 30 articles
2026-05-11 16:41:09,609 | broad_market_rss_fetcher | DEBUG | Query 'NSE BSE India stock market today' → 100 articles
2026-05-11 16:41:09,662 | broad_market_rss_fetcher | DEBUG | Query 'India IPO listing NSE BSE today' → 100 articles
2026-05-11 16:41:09,730 | broad_market_rss_fetcher | DEBUG | Query 'India bulk deal block deal today' → 100 articles
2026-05-11 16:41:09,780 | broad_market_rss_fetcher | DEBUG | Query 'SEBI action order India today' → 76 articles
2026-05-11 16:41:09,866 | broad_market_rss_fetcher | DEBUG | Query 'India quarterly results earnings today' → 68 articles
2026-05-11 16:41:09,918 | broad_market_rss_fetcher | DEBUG | Query 'India stock market news today' → 100 articles
