2026-05-11 16:23:48,309 | broad_market_rss_fetcher | DEBUG | Query 'India pharma fraud scam default' → 20 articles
2026-05-11 16:23:48,348 | broad_market_rss_fetcher | DEBUG | Query 'India pharma fundraise QIP stake' → 0 articles
2026-05-11 16:23:48,444 | broad_market_rss_fetcher | DEBUG | Query 'India pharma RBI regulation policy' → 78 articles
2026-05-11 16:23:48,535 | broad_market_rss_fetcher | DEBUG | Query 'India IT SEBI action penalty' → 78 articles
2026-05-11 16:23:48,599 | broad_market_rss_fetcher | DEBUG | Query 'India IT deal acquisition merger' → 65 articles
2026-05-11 16:23:48,877 | broad_market_rss_fetcher | DEBUG | Query 'India IT fundraise QIP stake' → 51 articles
2026-05-11 16:23:48,952 | broad_market_rss_fetcher | DEBUG | Query 'India IT expansion capacity plant' → 100 articles
2026-05-11 16:23:48,991 | broad_market_rss_fetcher | DEBUG | Query 'India IT dividend buyback bonus' → 68 articles
2026-05-11 16:23:49,034 | broad_market_rss_fetcher | DEBUG | Query 'India IT order contract win' → 0 articles
2026-05-11 16:23:49,058 | broad_market_rss_fetcher | DEBUG | Query 'India IT FDA approval recall' → 43 articles
2026-05-11 16:23:49,106 | broad_market_rss_fetcher | DEBUG | Query 'India IT partnership agreement MOU' → 76 articles
2026-05-11 16:23:49,178 | broad_market_rss_fetcher | DEBUG | Query 'India IT listing IPO' → 100 articles
2026-05-11 16:23:49,211 | broad_market_rss_fetcher | DEBUG | Query 'India IT guidance outlook forecast' → 74 articles
2026-05-11 16:23:49,528 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure results earnings profit loss' → 44 articles
2026-05-11 16:23:49,558 | broad_market_rss_fetcher | DEBUG | Query 'India IT upgrade downgrade target price' → 59 articles
2026-05-11 16:23:49,629 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure order contract win' → 70 articles
2026-05-11 16:23:49,682 | broad_market_rss_fetcher | DEBUG | Query 'India IT fraud scam default' → 78 articles
2026-05-11 16:23:49,713 | broad_market_rss_fetcher | DEBUG | Query 'India IT RBI regulation policy' → 100 articles
2026-05-11 16:23:49,742 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure SEBI action penalty' → 79 articles
2026-05-11 16:23:50,075 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure dividend buyback bonus' → 53 articles
2026-05-11 16:23:50,087 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure fundraise QIP stake' → 38 articles
2026-05-11 16:23:50,114 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure expansion capacity plant' → 57 articles
2026-05-11 16:23:50,324 | broad_market_rss_fetcher | DEBUG | Query 'India IT bulk deal block deal' → 100 articles
2026-05-11 16:23:50,427 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure guidance outlook forecast' → 55 articles
2026-05-11 16:23:50,431 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure FDA approval recall' → 6 articles
2026-05-11 16:23:50,589 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure listing IPO' → 64 articles
2026-05-11 16:23:50,688 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure bulk deal block deal' → 69 articles
2026-05-11 16:23:50,904 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure RBI regulation policy' → 74 articles
2026-05-11 16:23:51,079 | broad_market_rss_fetcher | DEBUG | Query 'India energy results earnings profit loss' → 48 articles
2026-05-11 16:23:51,126 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure fraud scam default' → 57 articles
2026-05-11 16:23:51,393 | broad_market_rss_fetcher | DEBUG | Query 'India energy deal acquisition merger' → 79 articles
2026-05-11 16:23:51,473 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure upgrade downgrade target price' → 17 articles
2026-05-11 16:23:51,517 | broad_market_rss_fetcher | DEBUG | Query 'India energy SEBI action penalty' → 79 articles
2026-05-11 16:23:51,696 | broad_market_rss_fetcher | DEBUG | Query 'India energy dividend buyback bonus' → 65 articles
2026-05-11 16:23:51,766 | broad_market_rss_fetcher | DEBUG | Query 'India energy expansion capacity plant' → 66 articles
2026-05-11 16:23:52,007 | broad_market_rss_fetcher | DEBUG | Query 'India energy guidance outlook forecast' → 69 articles
2026-05-11 16:23:52,059 | broad_market_rss_fetcher | DEBUG | Query 'India energy FDA approval recall' → 58 articles
2026-05-11 16:23:52,104 | broad_market_rss_fetcher | DEBUG | Query 'India energy fundraise QIP stake' → 52 articles
2026-05-11 16:23:52,148 | broad_market_rss_fetcher | DEBUG | Query 'India energy order contract win' → 60 articles
2026-05-11 16:23:52,187 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure partnership agreement MOU' → 67 articles
2026-05-11 16:23:52,218 | broad_market_rss_fetcher | DEBUG | Query 'India energy partnership agreement MOU' → 56 articles
2026-05-11 16:23:52,403 | broad_market_rss_fetcher | DEBUG | Query 'India energy listing IPO' → 69 articles
2026-05-11 16:23:52,468 | broad_market_rss_fetcher | DEBUG | Query 'India energy upgrade downgrade target price' → 38 articles
2026-05-11 16:23:52,580 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG results earnings profit loss' → 36 articles
2026-05-11 16:23:52,634 | broad_market_rss_fetcher | DEBUG | Query 'India energy bulk deal block deal' → 76 articles
2026-05-11 16:23:52,728 | broad_market_rss_fetcher | DEBUG | Query 'India energy RBI regulation policy' → 76 articles
2026-05-11 16:23:52,825 | broad_market_rss_fetcher | DEBUG | Query 'India energy fraud scam default' → 71 articles
2026-05-11 16:23:53,024 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG deal acquisition merger' → 70 articles
2026-05-11 16:23:53,049 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG dividend buyback bonus' → 41 articles
2026-05-11 16:23:53,141 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG SEBI action penalty' → 76 articles
2026-05-11 16:23:53,193 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG expansion capacity plant' → 70 articles
2026-05-11 16:23:53,225 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG fundraise QIP stake' → 11 articles
2026-05-11 16:23:53,281 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG guidance outlook forecast' → 30 articles
2026-05-11 16:23:53,284 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure deal acquisition merger' → 0 articles
2026-05-11 16:23:53,345 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG order contract win' → 79 articles
2026-05-11 16:23:53,403 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG FDA approval recall' → 1 articles
2026-05-11 16:23:53,503 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG partnership agreement MOU' → 57 articles
2026-05-11 16:23:53,605 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG fraud scam default' → 1 articles
2026-05-11 16:23:53,651 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG upgrade downgrade target price' → 32 articles
2026-05-11 16:23:53,837 | broad_market_rss_fetcher | DEBUG | Query 'India metals results earnings profit loss' → 26 articles
2026-05-11 16:23:53,876 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG listing IPO' → 44 articles
2026-05-11 16:23:53,931 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG RBI regulation policy' → 75 articles
2026-05-11 16:23:53,948 | broad_market_rss_fetcher | DEBUG | Query 'India metals order contract win' → 46 articles
2026-05-11 16:23:53,972 | broad_market_rss_fetcher | DEBUG | Query 'India FMCG bulk deal block deal' → 74 articles
2026-05-11 16:23:54,115 | broad_market_rss_fetcher | DEBUG | Query 'India metals dividend buyback bonus' → 37 articles
2026-05-11 16:23:54,160 | broad_market_rss_fetcher | DEBUG | Query 'India metals SEBI action penalty' → 72 articles
2026-05-11 16:23:54,275 | broad_market_rss_fetcher | DEBUG | Query 'India metals deal acquisition merger' → 64 articles
2026-05-11 16:23:54,564 | broad_market_rss_fetcher | DEBUG | Query 'India metals partnership agreement MOU' → 75 articles
2026-05-11 16:23:54,606 | broad_market_rss_fetcher | DEBUG | Query 'India metals expansion capacity plant' → 71 articles
2026-05-11 16:23:54,633 | broad_market_rss_fetcher | DEBUG | Query 'India metals listing IPO' → 45 articles
2026-05-11 16:23:54,640 | broad_market_rss_fetcher | DEBUG | Query 'India metals upgrade downgrade target price' → 8 articles
2026-05-11 16:23:54,683 | broad_market_rss_fetcher | DEBUG | Query 'India metals guidance outlook forecast' → 71 articles
2026-05-11 16:23:54,788 | broad_market_rss_fetcher | DEBUG | Query 'India metals bulk deal block deal' → 59 articles
2026-05-11 16:23:54,971 | broad_market_rss_fetcher | DEBUG | Query 'India metals fraud scam default' → 5 articles
2026-05-11 16:23:54,994 | broad_market_rss_fetcher | DEBUG | Query 'India metals fundraise QIP stake' → 14 articles
2026-05-11 16:23:55,183 | broad_market_rss_fetcher | DEBUG | Query 'India auto deal acquisition merger' → 56 articles
2026-05-11 16:23:55,206 | broad_market_rss_fetcher | DEBUG | Query 'India auto results earnings profit loss' → 50 articles
2026-05-11 16:23:55,229 | broad_market_rss_fetcher | DEBUG | Query 'India metals RBI regulation policy' → 54 articles
2026-05-11 16:23:55,261 | broad_market_rss_fetcher | DEBUG | Query 'India auto order contract win' → 76 articles
2026-05-11 16:23:55,475 | broad_market_rss_fetcher | DEBUG | Query 'India auto SEBI action penalty' → 78 articles
2026-05-11 16:23:55,529 | broad_market_rss_fetcher | DEBUG | Query 'India auto dividend buyback bonus' → 63 articles
2026-05-11 16:23:55,687 | broad_market_rss_fetcher | DEBUG | Query 'India auto expansion capacity plant' → 58 articles
2026-05-11 16:23:55,724 | broad_market_rss_fetcher | DEBUG | Query 'India auto FDA approval recall' → 25 articles
2026-05-11 16:23:55,745 | broad_market_rss_fetcher | DEBUG | Query 'India auto fundraise QIP stake' → 53 articles
2026-05-11 16:23:55,761 | broad_market_rss_fetcher | DEBUG | Query 'India auto guidance outlook forecast' → 49 articles
2026-05-11 16:23:56,019 | broad_market_rss_fetcher | DEBUG | Query 'India auto partnership agreement MOU' → 78 articles
2026-05-11 16:23:56,059 | broad_market_rss_fetcher | DEBUG | Query 'India auto upgrade downgrade target price' → 49 articles
2026-05-11 16:23:56,100 | broad_market_rss_fetcher | DEBUG | Query 'India auto listing IPO' → 52 articles
2026-05-11 16:23:56,243 | broad_market_rss_fetcher | DEBUG | Query 'India auto bulk deal block deal' → 78 articles
2026-05-11 16:23:56,263 | broad_market_rss_fetcher | DEBUG | Query 'India telecom results earnings profit loss' → 42 articles
2026-05-11 16:23:56,279 | broad_market_rss_fetcher | DEBUG | Query 'India auto fraud scam default' → 48 articles
2026-05-11 16:23:56,328 | broad_market_rss_fetcher | DEBUG | Query 'India metals FDA approval recall' → 35 articles
2026-05-11 16:23:56,435 | broad_market_rss_fetcher | DEBUG | Query 'India auto RBI regulation policy' → 73 articles
2026-05-11 16:23:56,536 | broad_market_rss_fetcher | DEBUG | Query 'India telecom order contract win' → 59 articles
2026-05-11 16:23:56,586 | broad_market_rss_fetcher | DEBUG | Query 'India telecom SEBI action penalty' → 63 articles
2026-05-11 16:23:56,647 | broad_market_rss_fetcher | DEBUG | Query 'India telecom dividend buyback bonus' → 31 articles
2026-05-11 16:23:56,690 | broad_market_rss_fetcher | DEBUG | Query 'India telecom fundraise QIP stake' → 15 articles
2026-05-11 16:23:56,746 | broad_market_rss_fetcher | DEBUG | Query 'India telecom deal acquisition merger' → 79 articles
2026-05-11 16:23:56,832 | broad_market_rss_fetcher | DEBUG | Query 'India telecom guidance outlook forecast' → 30 articles
2026-05-11 16:23:56,834 | broad_market_rss_fetcher | DEBUG | Query 'India telecom FDA approval recall' → 0 articles
2026-05-11 16:23:57,099 | broad_market_rss_fetcher | DEBUG | Query 'India telecom partnership agreement MOU' → 66 articles
2026-05-11 16:23:57,116 | broad_market_rss_fetcher | DEBUG | Query 'India telecom upgrade downgrade target price' → 19 articles
2026-05-11 16:23:57,213 | broad_market_rss_fetcher | DEBUG | Query 'India telecom listing IPO' → 70 articles
2026-05-11 16:23:57,322 | broad_market_rss_fetcher | DEBUG | Query 'India telecom expansion capacity plant' → 68 articles
2026-05-11 16:23:57,369 | broad_market_rss_fetcher | DEBUG | Query 'India telecom bulk deal block deal' → 63 articles
2026-05-11 16:23:57,396 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals results earnings profit loss' → 47 articles
2026-05-11 16:23:57,515 | broad_market_rss_fetcher | DEBUG | Query 'India telecom RBI regulation policy' → 77 articles
2026-05-11 16:23:57,584 | broad_market_rss_fetcher | DEBUG | Query 'India telecom fraud scam default' → 73 articles
2026-05-11 16:23:57,623 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals order contract win' → 53 articles
2026-05-11 16:23:57,665 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals deal acquisition merger' → 53 articles
2026-05-11 16:23:57,735 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals SEBI action penalty' → 78 articles
2026-05-11 16:23:57,768 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals fundraise QIP stake' → 13 articles
2026-05-11 16:23:57,789 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals dividend buyback bonus' → 36 articles
2026-05-11 16:23:57,965 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals expansion capacity plant' → 55 articles
2026-05-11 16:23:58,019 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals guidance outlook forecast' → 42 articles
2026-05-11 16:23:58,135 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals listing IPO' → 75 articles
2026-05-11 16:23:58,198 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals FDA approval recall' → 56 articles
2026-05-11 16:23:58,245 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals partnership agreement MOU' → 70 articles
2026-05-11 16:23:58,271 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals upgrade downgrade target price' → 24 articles
2026-05-11 16:23:58,392 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals RBI regulation policy' → 76 articles
2026-05-11 16:23:58,406 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals fraud scam default' → 13 articles
2026-05-11 16:23:58,571 | broad_market_rss_fetcher | DEBUG | Query 'India defence results earnings profit loss' → 50 articles
2026-05-11 16:23:58,681 | broad_market_rss_fetcher | DEBUG | Query 'India defence order contract win' → 77 articles
2026-05-11 16:23:58,775 | broad_market_rss_fetcher | DEBUG | Query 'India defence SEBI action penalty' → 78 articles
2026-05-11 16:23:58,822 | broad_market_rss_fetcher | DEBUG | Query 'India defence fundraise QIP stake' → 16 articles
2026-05-11 16:23:58,998 | broad_market_rss_fetcher | DEBUG | Query 'India defence deal acquisition merger' → 78 articles
2026-05-11 16:23:59,014 | broad_market_rss_fetcher | DEBUG | Query 'India defence dividend buyback bonus' → 24 articles
2026-05-11 16:23:59,048 | broad_market_rss_fetcher | DEBUG | Query 'India defence expansion capacity plant' → 53 articles
2026-05-11 16:23:59,080 | broad_market_rss_fetcher | DEBUG | Query 'India defence guidance outlook forecast' → 38 articles
2026-05-11 16:23:59,163 | broad_market_rss_fetcher | DEBUG | Query 'India defence FDA approval recall' → 14 articles
2026-05-11 16:23:59,340 | broad_market_rss_fetcher | DEBUG | Query 'India defence listing IPO' → 62 articles
2026-05-11 16:23:59,456 | broad_market_rss_fetcher | DEBUG | Query 'India defence partnership agreement MOU' → 83 articles
2026-05-11 16:23:59,504 | broad_market_rss_fetcher | DEBUG | Query 'India defence upgrade downgrade target price' → 36 articles
2026-05-11 16:23:59,522 | broad_market_rss_fetcher | DEBUG | Query 'India defence fraud scam default' → 17 articles
2026-05-11 16:23:59,633 | broad_market_rss_fetcher | DEBUG | Query 'India defence RBI regulation policy' → 76 articles
2026-05-11 16:23:59,690 | broad_market_rss_fetcher | DEBUG | Query 'India real estate results earnings profit loss' → 47 articles
