2026-05-11 16:50:57,571 | broad_market_rss_fetcher | INFO | ============================================================
2026-05-11 16:50:57,583 | broad_market_rss_fetcher | INFO | Starting broad market RSS sweep
2026-05-11 16:50:57,584 | broad_market_rss_fetcher | INFO |   Total queries:   215
2026-05-11 16:50:57,584 | broad_market_rss_fetcher | INFO |   Sweepers:        20
2026-05-11 16:50:57,585 | broad_market_rss_fetcher | INFO |   Sector x Event:  180
2026-05-11 16:50:57,586 | broad_market_rss_fetcher | INFO |   High signal:     15
2026-05-11 16:50:57,587 | broad_market_rss_fetcher | INFO |   Max per query:   100
2026-05-11 16:50:57,587 | broad_market_rss_fetcher | INFO |   Max age:         48h
2026-05-11 16:50:57,588 | broad_market_rss_fetcher | INFO |   Concurrency:     8
2026-05-11 16:50:57,589 | broad_market_rss_fetcher | INFO | ============================================================
2026-05-11 16:50:58,158 | broad_market_rss_fetcher | DEBUG | Query 'India stock market movers gainers losers' → 16 articles
2026-05-11 16:50:58,177 | broad_market_rss_fetcher | DEBUG | Query 'India FII DII investment today' → 23 articles
2026-05-11 16:50:58,241 | broad_market_rss_fetcher | DEBUG | Query 'NSE BSE India stock market today' → 39 articles
2026-05-11 16:50:58,491 | broad_market_rss_fetcher | DEBUG | Query 'India quarterly results earnings today' → 32 articles
2026-05-11 16:50:58,519 | broad_market_rss_fetcher | DEBUG | Query 'NSE BSE share price today' → 38 articles
2026-05-11 16:50:58,590 | broad_market_rss_fetcher | DEBUG | Query 'India bulk deal block deal today' → 5 articles
2026-05-11 16:50:58,655 | broad_market_rss_fetcher | DEBUG | Query 'SEBI action order India today' → 11 articles
2026-05-11 16:50:58,687 | broad_market_rss_fetcher | DEBUG | Query 'India IPO listing NSE BSE today' → 46 articles
2026-05-11 16:50:58,710 | broad_market_rss_fetcher | DEBUG | Query 'India corporate results profit loss' → 37 articles
2026-05-11 16:50:58,725 | broad_market_rss_fetcher | DEBUG | Query 'RBI policy decision India today' → 22 articles
2026-05-11 16:50:58,798 | broad_market_rss_fetcher | DEBUG | Query 'India stock market news today' → 100 articles
2026-05-11 16:50:58,965 | broad_market_rss_fetcher | DEBUG | Query 'India 52 week high low NSE' → 31 articles
2026-05-11 16:50:59,101 | broad_market_rss_fetcher | DEBUG | Query 'India market rally crash today' → 39 articles
2026-05-11 16:50:59,111 | broad_market_rss_fetcher | DEBUG | Query 'India promoter stake sale pledge' → 6 articles
2026-05-11 16:50:59,173 | broad_market_rss_fetcher | DEBUG | Query 'India upper circuit lower circuit stock' → 31 articles
2026-05-11 16:50:59,184 | broad_market_rss_fetcher | DEBUG | Query 'India board meeting AGM EGM' → 2 articles
2026-05-11 16:50:59,244 | broad_market_rss_fetcher | DEBUG | Query 'India company guidance outlook forecast' → 9 articles
2026-05-11 16:50:59,287 | broad_market_rss_fetcher | DEBUG | Query 'India mutual fund investment news' → 43 articles
2026-05-11 16:50:59,311 | broad_market_rss_fetcher | DEBUG | Query 'India stock analyst target price' → 37 articles
2026-05-11 16:50:59,576 | broad_market_rss_fetcher | DEBUG | Query 'India banking deal acquisition merger' → 6 articles
2026-05-11 16:50:59,579 | broad_market_rss_fetcher | DEBUG | Query 'India banking SEBI action penalty' → 0 articles
2026-05-11 16:50:59,583 | broad_market_rss_fetcher | DEBUG | Query 'India banking fundraise QIP stake' → 0 articles
2026-05-11 16:50:59,589 | broad_market_rss_fetcher | DEBUG | Query 'India banking dividend buyback bonus' → 3 articles
2026-05-11 16:50:59,649 | broad_market_rss_fetcher | DEBUG | Query 'India banking results earnings profit loss' → 41 articles
2026-05-11 16:50:59,677 | broad_market_rss_fetcher | DEBUG | Query 'India banking order contract win' → 22 articles
2026-05-11 16:50:59,791 | broad_market_rss_fetcher | DEBUG | Query 'India rights issue QIP preferential allotment' → 3 articles
2026-05-11 16:50:59,804 | broad_market_rss_fetcher | DEBUG | Query 'India banking expansion capacity plant' → 12 articles
2026-05-11 16:50:59,966 | broad_market_rss_fetcher | DEBUG | Query 'India banking FDA approval recall' → 0 articles
2026-05-11 16:51:00,026 | broad_market_rss_fetcher | DEBUG | Query 'India banking guidance outlook forecast' → 3 articles
2026-05-11 16:51:00,033 | broad_market_rss_fetcher | DEBUG | Query 'India banking partnership agreement MOU' → 6 articles
2026-05-11 16:51:00,114 | broad_market_rss_fetcher | DEBUG | Query 'India banking upgrade downgrade target price' → 14 articles
2026-05-11 16:51:00,124 | broad_market_rss_fetcher | DEBUG | Query 'India banking bulk deal block deal' → 3 articles
2026-05-11 16:51:00,190 | broad_market_rss_fetcher | DEBUG | Query 'India banking listing IPO' → 57 articles
2026-05-11 16:51:00,194 | broad_market_rss_fetcher | DEBUG | Query 'India banking fraud scam default' → 1 articles
2026-05-11 16:51:00,332 | broad_market_rss_fetcher | DEBUG | Query 'India banking RBI regulation policy' → 32 articles
2026-05-11 16:51:00,442 | broad_market_rss_fetcher | DEBUG | Query 'India pharma dividend buyback bonus' → 2 articles
2026-05-11 16:51:00,448 | broad_market_rss_fetcher | DEBUG | Query 'India pharma deal acquisition merger' → 5 articles
2026-05-11 16:51:00,462 | broad_market_rss_fetcher | DEBUG | Query 'India pharma SEBI action penalty' → 1 articles
2026-05-11 16:51:00,512 | broad_market_rss_fetcher | DEBUG | Query 'India pharma results earnings profit loss' → 46 articles
2026-05-11 16:51:00,525 | broad_market_rss_fetcher | DEBUG | Query 'India pharma fundraise QIP stake' → 0 articles
2026-05-11 16:51:00,622 | broad_market_rss_fetcher | DEBUG | Query 'India pharma expansion capacity plant' → 10 articles
2026-05-11 16:51:00,627 | broad_market_rss_fetcher | DEBUG | Query 'India pharma order contract win' → 6 articles
2026-05-11 16:51:00,753 | broad_market_rss_fetcher | DEBUG | Query 'India pharma FDA approval recall' → 0 articles
2026-05-11 16:51:00,848 | broad_market_rss_fetcher | DEBUG | Query 'India pharma partnership agreement MOU' → 4 articles
2026-05-11 16:51:00,852 | broad_market_rss_fetcher | DEBUG | Query 'India pharma guidance outlook forecast' → 2 articles
2026-05-11 16:51:00,925 | broad_market_rss_fetcher | DEBUG | Query 'India pharma listing IPO' → 18 articles
2026-05-11 16:51:00,929 | broad_market_rss_fetcher | DEBUG | Query 'India pharma upgrade downgrade target price' → 3 articles
2026-05-11 16:51:00,959 | broad_market_rss_fetcher | DEBUG | Query 'India pharma bulk deal block deal' → 3 articles
2026-05-11 16:51:01,004 | broad_market_rss_fetcher | DEBUG | Query 'India pharma RBI regulation policy' → 6 articles
2026-05-11 16:51:01,010 | broad_market_rss_fetcher | DEBUG | Query 'India pharma fraud scam default' → 0 articles
2026-05-11 16:51:01,296 | broad_market_rss_fetcher | DEBUG | Query 'India IT deal acquisition merger' → 15 articles
2026-05-11 16:51:01,329 | broad_market_rss_fetcher | DEBUG | Query 'India IT order contract win' → 34 articles
2026-05-11 16:51:01,360 | broad_market_rss_fetcher | DEBUG | Query 'India IT results earnings profit loss' → 50 articles
2026-05-11 16:51:01,363 | broad_market_rss_fetcher | DEBUG | Query 'India IT dividend buyback bonus' → 2 articles
2026-05-11 16:51:01,365 | broad_market_rss_fetcher | DEBUG | Query 'India IT fundraise QIP stake' → 0 articles
2026-05-11 16:51:01,368 | broad_market_rss_fetcher | DEBUG | Query 'India IT SEBI action penalty' → 1 articles
2026-05-11 16:51:01,503 | broad_market_rss_fetcher | DEBUG | Query 'India IT guidance outlook forecast' → 6 articles
2026-05-11 16:51:01,528 | broad_market_rss_fetcher | DEBUG | Query 'India IT expansion capacity plant' → 43 articles
2026-05-11 16:51:01,731 | broad_market_rss_fetcher | DEBUG | Query 'India IT FDA approval recall' → 0 articles
2026-05-11 16:51:01,752 | broad_market_rss_fetcher | DEBUG | Query 'India IT partnership agreement MOU' → 33 articles
2026-05-11 16:51:01,772 | broad_market_rss_fetcher | DEBUG | Query 'India IT bulk deal block deal' → 5 articles
2026-05-11 16:51:01,827 | broad_market_rss_fetcher | DEBUG | Query 'India IT RBI regulation policy' → 32 articles
2026-05-11 16:51:01,843 | broad_market_rss_fetcher | DEBUG | Query 'India IT upgrade downgrade target price' → 25 articles
2026-05-11 16:51:01,901 | broad_market_rss_fetcher | DEBUG | Query 'India IT listing IPO' → 46 articles
2026-05-11 16:51:01,904 | broad_market_rss_fetcher | DEBUG | Query 'India IT fraud scam default' → 0 articles
2026-05-11 16:51:02,063 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure results earnings profit loss' → 52 articles
2026-05-11 16:51:02,118 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure dividend buyback bonus' → 0 articles
2026-05-11 16:51:02,127 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure SEBI action penalty' → 1 articles
2026-05-11 16:51:02,155 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure order contract win' → 20 articles
2026-05-11 16:51:02,161 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure deal acquisition merger' → 2 articles
2026-05-11 16:51:02,163 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure fundraise QIP stake' → 0 articles
2026-05-11 16:51:02,304 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure guidance outlook forecast' → 1 articles
2026-05-11 16:51:02,425 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure FDA approval recall' → 0 articles
2026-05-11 16:51:02,463 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure expansion capacity plant' → 52 articles
2026-05-11 16:51:02,469 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure partnership agreement MOU' → 6 articles
2026-05-11 16:51:02,504 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure bulk deal block deal' → 0 articles
2026-05-11 16:51:02,559 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure upgrade downgrade target price' → 5 articles
2026-05-11 16:51:02,586 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure listing IPO' → 34 articles
2026-05-11 16:51:02,594 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure RBI regulation policy' → 9 articles
2026-05-11 16:51:02,614 | broad_market_rss_fetcher | DEBUG | Query 'India infrastructure fraud scam default' → 0 articles
2026-05-11 16:51:02,836 | broad_market_rss_fetcher | DEBUG | Query 'India energy SEBI action penalty' → 0 articles
2026-05-11 16:51:02,859 | broad_market_rss_fetcher | DEBUG | Query 'India energy fundraise QIP stake' → 0 articles
2026-05-11 16:51:02,906 | broad_market_rss_fetcher | DEBUG | Query 'India energy order contract win' → 14 articles
2026-05-11 16:51:02,918 | broad_market_rss_fetcher | DEBUG | Query 'India energy deal acquisition merger' → 4 articles
2026-05-11 16:51:02,924 | broad_market_rss_fetcher | DEBUG | Query 'India energy dividend buyback bonus' → 1 articles
2026-05-11 16:51:02,983 | broad_market_rss_fetcher | DEBUG | Query 'India energy results earnings profit loss' → 40 articles
2026-05-11 16:51:03,070 | broad_market_rss_fetcher | DEBUG | Query 'India energy guidance outlook forecast' → 3 articles
2026-05-11 16:51:03,111 | broad_market_rss_fetcher | DEBUG | Query 'India energy expansion capacity plant' → 48 articles
2026-05-11 16:51:03,229 | broad_market_rss_fetcher | DEBUG | Query 'India energy FDA approval recall' → 0 articles
2026-05-11 16:51:03,348 | broad_market_rss_fetcher | DEBUG | Query 'India energy bulk deal block deal' → 4 articles
2026-05-11 16:51:03,375 | broad_market_rss_fetcher | DEBUG | Query 'India energy partnership agreement MOU' → 11 articles
2026-05-11 16:51:03,389 | broad_market_rss_fetcher | DEBUG | Query 'India energy listing IPO' → 23 articles
2026-05-11 16:51:03,392 | broad_market_rss_fetcher | DEBUG | Query 'India energy fraud scam default' → 0 articles
